"province","date_death_report","deaths","cumulative_deaths"
"Alberta","08-03-2020",0,0
"Alberta","09-03-2020",0,0
"Alberta","10-03-2020",0,0
"Alberta","11-03-2020",0,0
"Alberta","12-03-2020",0,0
"Alberta","13-03-2020",0,0
"Alberta","14-03-2020",0,0
"Alberta","15-03-2020",0,0
"Alberta","16-03-2020",0,0
"Alberta","17-03-2020",0,0
"Alberta","18-03-2020",0,0
"Alberta","19-03-2020",1,1
"Alberta","20-03-2020",0,1
"Alberta","21-03-2020",0,1
"Alberta","22-03-2020",0,1
"Alberta","23-03-2020",0,1
"Alberta","24-03-2020",1,2
"Alberta","25-03-2020",0,2
"Alberta","26-03-2020",0,2
"Alberta","27-03-2020",0,2
"Alberta","28-03-2020",0,2
"Alberta","29-03-2020",1,3
"Alberta","30-03-2020",5,8
"Alberta","31-03-2020",1,9
"Alberta","01-04-2020",2,11
"Alberta","02-04-2020",2,13
"Alberta","03-04-2020",5,18
"Alberta","04-04-2020",2,20
"Alberta","05-04-2020",3,23
"Alberta","06-04-2020",1,24
"Alberta","07-04-2020",2,26
"Alberta","08-04-2020",3,29
"Alberta","09-04-2020",3,32
"Alberta","10-04-2020",7,39
"Alberta","11-04-2020",1,40
"Alberta","12-04-2020",4,44
"Alberta","13-04-2020",2,46
"Alberta","14-04-2020",2,48
"Alberta","15-04-2020",0,48
"Alberta","16-04-2020",2,50
"Alberta","17-04-2020",0,50
"Alberta","18-04-2020",1,51
"Alberta","19-04-2020",4,55
"Alberta","20-04-2020",4,59
"Alberta","21-04-2020",2,61
"Alberta","22-04-2020",5,66
"Alberta","23-04-2020",2,68
"Alberta","24-04-2020",4,72
"Alberta","25-04-2020",1,73
"Alberta","26-04-2020",0,73
"Alberta","27-04-2020",2,75
"Alberta","28-04-2020",5,80
"Alberta","29-04-2020",7,87
"Alberta","30-04-2020",2,89
"Alberta","01-05-2020",3,92
"Alberta","02-05-2020",2,94
"Alberta","03-05-2020",1,95
"Alberta","04-05-2020",9,104
"Alberta","05-05-2020",2,106
"Alberta","06-05-2020",6,112
"Alberta","07-05-2020",2,114
"Alberta","08-05-2020",1,115
"Alberta","09-05-2020",1,116
"Alberta","10-05-2020",1,117
"Alberta","11-05-2020",0,117
"Alberta","12-05-2020",1,118
"Alberta","13-05-2020",2,120
"Alberta","14-05-2020",1,121
"Alberta","15-05-2020",4,125
"Alberta","16-05-2020",1,126
"Alberta","17-05-2020",1,127
"Alberta","18-05-2020",1,128
"Alberta","19-05-2020",0,128
"Alberta","20-05-2020",0,128
"Alberta","21-05-2020",4,132
"Alberta","22-05-2020",2,134
"Alberta","23-05-2020",1,135
"Alberta","24-05-2020",0,135
"Alberta","25-05-2020",3,138
"Alberta","26-05-2020",1,139
"Alberta","27-05-2020",2,141
"Alberta","28-05-2020",2,143
"Alberta","29-05-2020",0,143
"Alberta","30-05-2020",0,143
"Alberta","31-05-2020",0,143
"Alberta","01-06-2020",0,143
"Alberta","02-06-2020",0,143
"Alberta","03-06-2020",2,145
"Alberta","04-06-2020",1,146
"Alberta","05-06-2020",0,146
"Alberta","06-06-2020",0,146
"Alberta","07-06-2020",0,146
"Alberta","08-06-2020",2,148
"Alberta","09-06-2020",1,149
"Alberta","10-06-2020",0,149
"Alberta","11-06-2020",0,149
"Alberta","12-06-2020",0,149
"Alberta","13-06-2020",1,150
"Alberta","14-06-2020",0,150
"Alberta","15-06-2020",1,151
"Alberta","16-06-2020",0,151
"Alberta","17-06-2020",0,151
"Alberta","18-06-2020",1,152
"Alberta","19-06-2020",0,152
"Alberta","20-06-2020",0,152
"Alberta","21-06-2020",0,152
"Alberta","22-06-2020",1,153
"Alberta","23-06-2020",0,153
"Alberta","24-06-2020",0,153
"Alberta","25-06-2020",1,154
"Alberta","26-06-2020",0,154
"Alberta","27-06-2020",0,154
"Alberta","28-06-2020",0,154
"Alberta","29-06-2020",0,154
"Alberta","30-06-2020",0,154
"Alberta","01-07-2020",0,154
"Alberta","02-07-2020",1,155
"Alberta","03-07-2020",0,155
"Alberta","04-07-2020",0,155
"Alberta","05-07-2020",0,155
"Alberta","06-07-2020",0,155
"Alberta","07-07-2020",2,157
"Alberta","08-07-2020",1,158
"Alberta","09-07-2020",2,160
"Alberta","10-07-2020",0,160
"Alberta","11-07-2020",0,160
"Alberta","12-07-2020",0,160
"Alberta","13-07-2020",1,161
"Alberta","14-07-2020",2,163
"Alberta","15-07-2020",0,163
"Alberta","16-07-2020",2,165
"Alberta","17-07-2020",2,167
"Alberta","18-07-2020",0,167
"Alberta","19-07-2020",0,167
"Alberta","20-07-2020",3,170
"Alberta","21-07-2020",2,172
"Alberta","22-07-2020",2,174
"Alberta","23-07-2020",2,176
"Alberta","24-07-2020",2,178
"Alberta","25-07-2020",0,178
"Alberta","26-07-2020",0,178
"BC","08-03-2020",1,1
"BC","09-03-2020",0,1
"BC","10-03-2020",0,1
"BC","11-03-2020",0,1
"BC","12-03-2020",0,1
"BC","13-03-2020",0,1
"BC","14-03-2020",0,1
"BC","15-03-2020",0,1
"BC","16-03-2020",3,4
"BC","17-03-2020",3,7
"BC","18-03-2020",0,7
"BC","19-03-2020",1,8
"BC","20-03-2020",1,9
"BC","21-03-2020",1,10
"BC","22-03-2020",0,10
"BC","23-03-2020",3,13
"BC","24-03-2020",0,13
"BC","25-03-2020",1,14
"BC","26-03-2020",0,14
"BC","27-03-2020",2,16
"BC","28-03-2020",1,17
"BC","29-03-2020",0,17
"BC","30-03-2020",2,19
"BC","31-03-2020",5,24
"BC","01-04-2020",1,25
"BC","02-04-2020",6,31
"BC","03-04-2020",4,35
"BC","04-04-2020",3,38
"BC","05-04-2020",0,38
"BC","06-04-2020",1,39
"BC","07-04-2020",4,43
"BC","08-04-2020",5,48
"BC","09-04-2020",2,50
"BC","10-04-2020",5,55
"BC","11-04-2020",3,58
"BC","12-04-2020",0,58
"BC","13-04-2020",11,69
"BC","14-04-2020",3,72
"BC","15-04-2020",3,75
"BC","16-04-2020",2,77
"BC","17-04-2020",1,78
"BC","18-04-2020",3,81
"BC","19-04-2020",0,81
"BC","20-04-2020",5,86
"BC","21-04-2020",1,87
"BC","22-04-2020",3,90
"BC","23-04-2020",4,94
"BC","24-04-2020",4,98
