"province","date_vaccine_administered","avaccine","cumulative_avaccine"
"Alberta",2020-12-14,0,0
"Alberta",2020-12-15,20,20
"Alberta",2020-12-16,0,20
"BC",2020-12-14,0,0
"BC",2020-12-15,409,409
"BC",2020-12-16,0,409
"Manitoba",2020-12-14,0,0
"Manitoba",2020-12-15,0,0
"Manitoba",2020-12-16,2,2
"New Brunswick",2020-12-14,0,0
"New Brunswick",2020-12-15,0,0
"New Brunswick",2020-12-16,0,0
"NL",2020-12-14,0,0
"NL",2020-12-15,0,0
"NL",2020-12-16,2,2
"Nova Scotia",2020-12-14,0,0
"Nova Scotia",2020-12-15,0,0
"Nova Scotia",2020-12-16,390,390
"Nunavut",2020-12-14,0,0
"Nunavut",2020-12-15,0,0
"Nunavut",2020-12-16,0,0
"NWT",2020-12-14,0,0
"NWT",2020-12-15,0,0
"NWT",2020-12-16,0,0
"Ontario",2020-12-14,5,5
"Ontario",2020-12-15,426,431
"Ontario",2020-12-16,544,975
"PEI",2020-12-14,0,0
"PEI",2020-12-15,0,0
"PEI",2020-12-16,200,200
"Quebec",2020-12-14,298,298
"Quebec",2020-12-15,0,298
"Quebec",2020-12-16,1045,1343
"Saskatchewan",2020-12-14,0,0
"Saskatchewan",2020-12-15,2,2
"Saskatchewan",2020-12-16,0,2
"Yukon",2020-12-14,0,0
"Yukon",2020-12-15,0,0
"Yukon",2020-12-16,0,0
