"province","health_region","date_death_report","deaths","cumulative_deaths"
"Saskatchewan","Central East","04-08-2020",0,1
"Saskatchewan","Central East","05-08-2020",0,1
"Saskatchewan","Central East","06-08-2020",0,1
"Saskatchewan","Central East","07-08-2020",0,1
"Saskatchewan","Central East","08-08-2020",0,1
"Saskatchewan","Central East","09-08-2020",0,1
"Saskatchewan","Central East","10-08-2020",0,1
"Saskatchewan","Central East","11-08-2020",0,1
"Saskatchewan","Central East","12-08-2020",0,1
"Saskatchewan","Central East","13-08-2020",0,1
"Saskatchewan","Central East","14-08-2020",0,1
"Saskatchewan","Central East","15-08-2020",0,1
"Saskatchewan","Central East","16-08-2020",0,1
"Saskatchewan","Central East","17-08-2020",0,1
"Saskatchewan","Central East","18-08-2020",0,1
"Saskatchewan","Central East","19-08-2020",0,1
"Saskatchewan","Central East","20-08-2020",0,1
"Saskatchewan","Central East","21-08-2020",0,1
"Saskatchewan","Central East","22-08-2020",0,1
"Saskatchewan","Central East","23-08-2020",0,1
"Saskatchewan","Central East","24-08-2020",0,1
"Saskatchewan","Central East","25-08-2020",0,1
"Saskatchewan","Central East","26-08-2020",0,1
"Saskatchewan","Central East","27-08-2020",0,1
"Saskatchewan","Central East","28-08-2020",0,1
"Saskatchewan","Central East","29-08-2020",0,1
"Saskatchewan","Central East","30-08-2020",0,1
"Saskatchewan","Central East","31-08-2020",0,1
"Saskatchewan","Central East","01-09-2020",0,1
"Saskatchewan","Central East","02-09-2020",0,1
"Saskatchewan","Central East","03-09-2020",0,1
"Saskatchewan","Central East","04-09-2020",0,1
"Saskatchewan","Central East","05-09-2020",0,1
"Saskatchewan","Central East","06-09-2020",0,1
"Saskatchewan","Central East","07-09-2020",0,1
"Saskatchewan","Central East","08-09-2020",0,1
"Saskatchewan","Central East","09-09-2020",0,1
"Saskatchewan","Central East","10-09-2020",0,1
"Saskatchewan","Central East","11-09-2020",0,1
"Saskatchewan","Central East","12-09-2020",0,1
"Saskatchewan","Central East","13-09-2020",0,1
"Saskatchewan","Central East","14-09-2020",0,1
"Saskatchewan","Central East","15-09-2020",0,1
"Saskatchewan","Central East","16-09-2020",0,1
"Saskatchewan","Central East","17-09-2020",0,1
"Saskatchewan","Central East","18-09-2020",0,1
"Saskatchewan","Central East","19-09-2020",0,1
"Saskatchewan","Central East","20-09-2020",0,1
"Saskatchewan","Central East","21-09-2020",0,1
"Saskatchewan","Central East","22-09-2020",0,1
"Saskatchewan","Central East","23-09-2020",0,1
"Saskatchewan","Central East","24-09-2020",0,1
"Saskatchewan","Central East","25-09-2020",0,1
"Saskatchewan","Central East","26-09-2020",0,1
"Saskatchewan","Central East","27-09-2020",0,1
"Saskatchewan","Central East","28-09-2020",0,1
"Saskatchewan","Central East","29-09-2020",0,1
"Saskatchewan","Central East","30-09-2020",0,1
"Saskatchewan","Central East","01-10-2020",0,1
"Saskatchewan","Central East","02-10-2020",0,1
"Saskatchewan","Central East","03-10-2020",0,1
"Saskatchewan","Central East","04-10-2020",0,1
"Saskatchewan","Central East","05-10-2020",0,1
"Saskatchewan","Central East","06-10-2020",0,1
"Saskatchewan","Central East","07-10-2020",0,1
"Saskatchewan","Central East","08-10-2020",0,1
"Saskatchewan","Central East","09-10-2020",0,1
"Saskatchewan","Central East","10-10-2020",0,1
"Saskatchewan","Central East","11-10-2020",0,1
"Saskatchewan","Central East","12-10-2020",0,1
"Saskatchewan","Central East","13-10-2020",0,1
"Saskatchewan","Central East","14-10-2020",0,1
"Saskatchewan","Central East","15-10-2020",0,1
"Saskatchewan","Central East","16-10-2020",0,1
"Saskatchewan","Central East","17-10-2020",0,1
"Saskatchewan","Central East","18-10-2020",0,1
"Saskatchewan","Central East","19-10-2020",0,1
"Saskatchewan","Central East","20-10-2020",0,1
"Saskatchewan","Central East","21-10-2020",0,1
"Saskatchewan","Central East","22-10-2020",0,1
"Saskatchewan","Central East","23-10-2020",0,1
"Saskatchewan","Central East","24-10-2020",0,1
"Saskatchewan","Central East","25-10-2020",0,1
"Saskatchewan","Central East","26-10-2020",0,1
"Saskatchewan","Central East","27-10-2020",0,1
"Saskatchewan","Central East","28-10-2020",0,1
"Saskatchewan","Central East","29-10-2020",0,1
"Saskatchewan","Central East","30-10-2020",0,1
"Saskatchewan","Central East","31-10-2020",0,1
"Saskatchewan","Central East","01-11-2020",0,1
"Saskatchewan","Central East","02-11-2020",0,1
"Saskatchewan","Central East","03-11-2020",0,1
"Saskatchewan","Central East","04-11-2020",0,1
"Saskatchewan","Central East","05-11-2020",0,1
"Saskatchewan","Central East","06-11-2020",0,1
"Saskatchewan","Central East","07-11-2020",0,1
"Saskatchewan","Central East","08-11-2020",0,1
"Saskatchewan","Central East","09-11-2020",0,1
"Saskatchewan","Central East","10-11-2020",0,1
"Saskatchewan","Central East","11-11-2020",0,1
"Saskatchewan","Central East","12-11-2020",0,1
"Saskatchewan","Central East","13-11-2020",0,1
"Saskatchewan","Central East","14-11-2020",0,1
"Saskatchewan","Central East","15-11-2020",0,1
"Saskatchewan","Central East","16-11-2020",0,1
"Saskatchewan","Central East","17-11-2020",0,1
"Saskatchewan","Central East","18-11-2020",0,1
"Saskatchewan","Central East","19-11-2020",0,1
"Saskatchewan","Central East","20-11-2020",0,1
"Saskatchewan","Central East","21-11-2020",0,1
"Saskatchewan","Central East","22-11-2020",0,1
"Saskatchewan","Central East","23-11-2020",0,1
"Saskatchewan","Central East","24-11-2020",0,1
"Saskatchewan","Central East","25-11-2020",0,1
"Saskatchewan","Central East","26-11-2020",0,1
"Saskatchewan","Central East","27-11-2020",0,1
"Saskatchewan","Central East","28-11-2020",0,1
"Saskatchewan","Central East","29-11-2020",0,1
"Saskatchewan","Central East","30-11-2020",0,1
"Saskatchewan","Central East","01-12-2020",0,1
"Saskatchewan","Central East","02-12-2020",0,1
"Saskatchewan","Central East","03-12-2020",0,1
"Saskatchewan","Central East","04-12-2020",0,1
"Saskatchewan","Central East","05-12-2020",0,1
"Saskatchewan","Central East","06-12-2020",0,1
"Saskatchewan","Central East","07-12-2020",0,1
"Saskatchewan","Central East","08-12-2020",0,1
"Saskatchewan","Central East","09-12-2020",0,1
"Saskatchewan","Central East","10-12-2020",0,1
"Saskatchewan","Central East","11-12-2020",0,1
"Saskatchewan","Central East","12-12-2020",0,1
"Saskatchewan","Central East","13-12-2020",0,1
"Saskatchewan","Central East","14-12-2020",0,1
"Saskatchewan","Central East","15-12-2020",0,1
"Saskatchewan","Central East","16-12-2020",0,1
"Saskatchewan","Central East","17-12-2020",0,1
"Saskatchewan","Central East","18-12-2020",0,1
"Saskatchewan","Central East","19-12-2020",0,1
"Saskatchewan","Central East","20-12-2020",0,1
"Saskatchewan","Central East","21-12-2020",0,1
"Saskatchewan","Central East","22-12-2020",0,1
"Saskatchewan","Central East","23-12-2020",1,2
"Saskatchewan","Central East","24-12-2020",0,2
"Saskatchewan","Central East","25-12-2020",0,2
"Saskatchewan","Central East","26-12-2020",0,2
"Saskatchewan","Central East","27-12-2020",0,2
"Saskatchewan","Central East","28-12-2020",0,2
"Saskatchewan","Central East","29-12-2020",1,3
"Saskatchewan","Central East","30-12-2020",0,3
"Saskatchewan","Central East","31-12-2020",0,3
"Saskatchewan","Central East","01-01-2021",0,3
"Saskatchewan","Central East","02-01-2021",0,3
"Saskatchewan","Central East","03-01-2021",0,3
"Saskatchewan","Central East","04-01-2021",0,3
"Saskatchewan","Central East","05-01-2021",0,3
"Saskatchewan","Central East","06-01-2021",0,3
"Saskatchewan","Central East","07-01-2021",0,3
"Saskatchewan","Central East","08-01-2021",0,3
"Saskatchewan","Central East","09-01-2021",0,3
"Saskatchewan","Central East","10-01-2021",0,3
"Saskatchewan","Central East","11-01-2021",1,4
"Saskatchewan","Central East","12-01-2021",0,4
"Saskatchewan","Central East","13-01-2021",0,4
"Saskatchewan","Central East","14-01-2021",0,4
"Saskatchewan","Central East","15-01-2021",0,4
"Saskatchewan","Central East","16-01-2021",0,4
"Saskatchewan","Central East","17-01-2021",0,4
"Saskatchewan","Central East","18-01-2021",0,4
"Saskatchewan","Central East","19-01-2021",0,4
"Saskatchewan","Central East","20-01-2021",0,4
"Saskatchewan","Central East","21-01-2021",0,4
